site_code,tower_id,regime,year,month,n_halfhours,coverage,sum_le,sum_netrad,sum_g,sum_h,mean_avail_wm2,ef_rn_g,ef_turbulent,closure,excluded,note
metolius_or,US-Me2,mature_ponderosa_pine,2023,1,855,0.575,10408.2,606.6,0.0,-9654.7,0.7,17.1571,13.2912,1.242,True,ef_nonphysical;low_energy
metolius_or,US-Me2,mature_ponderosa_pine,2023,2,1341,0.998,14565.7,11796.0,0.0,-9408.8,8.8,1.2348,2.8245,0.4372,True,ef_nonphysical;low_energy
metolius_or,US-Me2,mature_ponderosa_pine,2023,3,982,0.66,5805.3,2813.0,0.0,-7291.0,2.9,2.0638,-4.1378,-0.5282,True,ef_nonphysical;low_energy
metolius_or,US-Me2,mature_ponderosa_pine,2023,4,1295,0.899,42508.8,193727.3,0.0,53691.9,149.6,0.2194,0.4419,0.4966,False,
metolius_or,US-Me2,mature_ponderosa_pine,2023,5,1387,0.932,75110.4,294741.3,0.0,83615.6,212.5,0.2548,0.4732,0.5385,False,
metolius_or,US-Me2,mature_ponderosa_pine,2023,6,713,0.495,28322.1,158218.7,0.0,68022.1,221.9,0.179,0.294,0.6089,True,low_coverage
metolius_or,US-Me2,mature_ponderosa_pine,2023,7,1364,0.917,54341.1,305397.5,0.0,127196.3,223.9,0.1779,0.2993,0.5944,False,
metolius_or,US-Me2,mature_ponderosa_pine,2023,8,1103,0.741,24822.1,171733.7,0.0,74235.3,155.7,0.1445,0.2506,0.5768,False,
metolius_or,US-Me2,mature_ponderosa_pine,2023,9,940,0.653,17180.3,107890.2,0.0,43056.3,114.8,0.1592,0.2852,0.5583,False,
metolius_or,US-Me2,mature_ponderosa_pine,2023,10,674,0.453,702.5,48562.7,0.0,15200.3,72.1,0.0145,0.0356,0.3275,True,low_coverage
metolius_or,US-Me2,mature_ponderosa_pine,2023,11,1330,0.924,-216.6,47100.7,0.0,1793.1,35.4,-0.0046,-0.1374,0.0335,False,
metolius_or,US-Me2,mature_ponderosa_pine,2023,12,1271,0.854,4213.8,18861.2,0.0,-9798.5,14.8,0.2234,-0.7545,-0.2961,True,low_energy
