tower_id,regime,year,n_kept_months,tower_hrc
US-Ne1,irrigated_continuous_maize,2019,11,5.89
US-Ne1,irrigated_continuous_maize,2020,10,5.70
US-Ne1,irrigated_continuous_maize,2021,9,6.56
US-Ne1,irrigated_continuous_maize,2022,10,6.17
US-Ne1,irrigated_continuous_maize,2023,10,5.70
US-Ne1,irrigated_continuous_maize,2024,10,5.93
US-Ne2,irrigated_maize_soy_rotation,2019,10,5.92
US-Ne2,irrigated_maize_soy_rotation,2020,10,5.79
US-Ne2,irrigated_maize_soy_rotation,2021,9,6.48
US-Ne2,irrigated_maize_soy_rotation,2022,11,5.68
US-Ne2,irrigated_maize_soy_rotation,2023,9,6.01
US-Ne2,irrigated_maize_soy_rotation,2024,11,5.46
US-Ne3,rainfed_maize_soy_rotation,2019,10,5.27
US-Ne3,rainfed_maize_soy_rotation,2020,10,5.26
US-Ne3,rainfed_maize_soy_rotation,2021,9,5.84
US-Ne3,rainfed_maize_soy_rotation,2022,11,4.72
US-Ne3,rainfed_maize_soy_rotation,2023,10,4.81
US-Ne3,rainfed_maize_soy_rotation,2024,11,5.46
